id,0_cv_score,0_n_rounds,1_cv_score,1_n_rounds,2_cv_score,2_n_rounds,3_cv_score,3_n_rounds,4_cv_score,4_n_rounds,alpha,colsample_bytree,eta,gamma,max_depth,min_child_weight,n_rounds,nthread,score,seed,silent,subsample
1,1137.50318764,645.0,1132.97666321,622.0,1144.9382593,500.0,1144.97887023,606.0,1127.89092492,586.0,7.5,0.65,0.1,1.0,11.0,97.0,591.0,20.0,1137.65758106,2016.0,1.0,0.7
2,1139.51040958,556.0,1134.23508013,491.0,1152.13595884,352.0,1143.86990889,671.0,1128.20002652,680.0,6.25,0.6,0.1,0.95,9.0,125.0,550.0,20.0,1139.59027679,2016.0,1.0,0.55
3,1137.81072527,481.0,1131.82108807,491.0,1145.24405761,588.0,1139.98631963,607.0,1127.46644144,527.0,9.0,0.35,0.1,0.6,10.0,83.0,538.0,20.0,1136.4657264,2016.0,1.0,0.65
4,1140.59443069,393.0,1133.90614861,364.0,1149.09064641,396.0,1144.86294778,416.0,1129.41670634,497.0,6.5,0.45,0.1,0.6,10.0,88.0,413.0,20.0,1139.57417597,2016.0,1.0,0.55
5,1139.28436845,376.0,1133.24510088,413.0,1147.95291054,585.0,1144.47089331,354.0,1127.88747245,428.0,5.0,0.8,0.1,1.0,11.0,82.0,431.0,20.0,1138.56814913,2016.0,1.0,0.65
6,1138.34062435,399.0,1131.82633605,483.0,1144.9046427,525.0,1141.09295559,368.0,1129.27757998,456.0,8.25,0.4,0.1,0.55,9.0,96.0,446.0,20.0,1137.08842773,2016.0,1.0,0.75
7,1139.4060928,827.0,1132.33991477,672.0,1146.40467505,774.0,1138.8298064,1287.0,1130.201388,850.0,9.75,0.4,0.1,0.9,7.0,96.0,882.0,20.0,1137.4363754,2016.0,1.0,0.65
8,1140.81038656,761.0,1134.45868929,733.0,1147.58475782,1097.0,1142.0334782,1476.0,1131.64859124,586.0,9.25,0.7,0.1,1.15,9.0,99.0,930.0,20.0,1139.30718062,2016.0,1.0,0.55
9,1137.82237237,643.0,1131.31974245,613.0,1145.07959907,811.0,1141.57376356,693.0,1126.81021121,506.0,5.5,0.45,0.1,0.95,8.0,137.0,653.0,20.0,1136.52113773,2016.0,1.0,0.7
10,1136.37966889,953.0,1129.92727689,752.0,1142.04246817,1340.0,1137.32671736,1092.0,1128.06792389,572.0,10.0,0.45,0.1,0.95,9.0,103.0,941.0,20.0,1134.74881104,2016.0,1.0,0.75
11,1140.17528061,845.0,1132.42933579,1203.0,1146.63950849,1083.0,1144.2792956,856.0,1129.44872417,855.0,9.75,0.5,0.1,1.2,13.0,88.0,968.0,20.0,1138.59442893,2016.0,1.0,0.65
12,1136.77166039,998.0,1129.0657411,893.0,1142.96405047,1155.0,1140.60703904,846.0,1127.90159891,707.0,7.5,0.4,0.1,1.05,9.0,107.0,919.0,20.0,1135.46201798,2016.0,1.0,0.75
13,1137.86254594,358.0,1132.51127515,367.0,1146.72475628,375.0,1143.26883467,347.0,1132.00156265,302.0,5.0,0.5,0.1,0.65,11.0,100.0,349.0,20.0,1138.47379494,2016.0,1.0,0.7
14,1139.70414405,318.0,1134.3714756,422.0,1148.65438427,395.0,1147.27943711,473.0,1130.26460144,348.0,9.75,0.65,0.1,0.6,13.0,89.0,391.0,20.0,1140.05480849,2016.0,1.0,0.55
15,1135.21137988,622.0,1130.04882427,701.0,1145.34229567,811.0,1141.11283933,696.0,1127.93749093,499.0,6.0,0.7,0.1,0.8,7.0,85.0,665.0,20.0,1135.93056602,2016.0,1.0,0.8
16,1136.65650356,359.0,1132.52415841,421.0,1147.85299063,442.0,1145.17644863,252.0,1130.26898659,342.0,5.25,0.75,0.1,0.95,12.0,122.0,363.0,20.0,1138.49581756,2016.0,1.0,0.7
17,1140.02442734,510.0,1131.54552517,642.0,1147.06464786,783.0,1144.95374822,453.0,1128.46896206,572.0,6.0,0.55,0.1,0.8,8.0,125.0,592.0,20.0,1138.41146213,2016.0,1.0,0.65
18,1137.3165901,581.0,1131.87669947,467.0,1144.69597487,688.0,1139.89606836,607.0,1129.02040049,387.0,9.5,0.55,0.1,0.85,12.0,87.0,546.0,20.0,1136.56114666,2016.0,1.0,0.7
19,1137.74406875,593.0,1132.50915319,498.0,1146.05607576,706.0,1141.49654482,517.0,1125.87933699,569.0,7.75,0.75,0.1,0.85,10.0,111.0,576.0,20.0,1136.7370359,2016.0,1.0,0.8
20,1138.75229854,603.0,1130.23790869,818.0,1143.8927846,926.0,1141.48003272,806.0,1128.07473669,892.0,7.5,0.6,0.1,1.1,11.0,113.0,809.0,20.0,1136.48755225,2016.0,1.0,0.75
21,1135.18113956,1085.0,1129.52088763,1175.0,1145.56693268,1499.0,1141.22305929,1019.0,1129.09547606,916.0,8.5,0.3,0.1,1.1,9.0,105.0,1138.0,20.0,1136.11749904,2016.0,1.0,0.75
22,1136.44638531,949.0,1130.21568859,940.0,1144.38030888,901.0,1141.86908756,875.0,1129.83111915,781.0,7.0,0.3,0.1,1.05,9.0,117.0,889.0,20.0,1136.5485179,2016.0,1.0,0.8
23,1138.15696406,641.0,1130.96068211,495.0,1146.40750629,688.0,1142.09189068,597.0,1129.58619416,720.0,8.75,0.35,0.1,0.75,9.0,106.0,628.0,20.0,1137.44064746,2016.0,1.0,0.6
24,1139.33640908,967.0,1132.49824624,825.0,1144.80520821,1164.0,1140.97926222,905.0,1131.2940571,828.0,8.0,0.4,0.1,1.25,9.0,133.0,937.0,20.0,1137.78263657,2016.0,1.0,0.75
25,1135.60825364,969.0,1129.26915156,996.0,1144.51921903,864.0,1143.18880476,805.0,1128.26735431,1164.0,7.0,0.45,0.1,1.2,9.0,105.0,959.0,20.0,1136.17055666,2016.0,1.0,0.8
26,1136.59290147,549.0,1128.78682532,642.0,1146.45559893,692.0,1142.69291801,913.0,1130.07560828,801.0,6.75,0.35,0.1,1.05,9.0,115.0,719.0,20.0,1136.9207704,2016.0,1.0,0.75
27,1138.23898649,810.0,1132.93992121,559.0,1145.43338279,723.0,1141.75693165,678.0,1125.78509693,815.0,8.75,0.5,0.1,0.7,7.0,119.0,717.0,20.0,1136.83086381,2016.0,1.0,0.6
28,1133.49371983,1387.0,1130.80366002,582.0,1143.73752165,788.0,1140.31035784,930.0,1127.40394026,716.0,8.0,0.4,0.1,1.1,12.0,108.0,880.0,20.0,1135.14983992,2016.0,1.0,0.8
29,1133.68454945,1259.0,1130.9766899,886.0,1144.14894342,1180.0,1141.27000362,991.0,1130.07220509,629.0,8.25,0.45,0.1,1.25,12.0,92.0,989.0,20.0,1136.0304783,2016.0,1.0,0.8
30,1134.24644331,965.0,1128.02103851,958.0,1143.51773629,903.0,1142.17743896,810.0,1129.26755276,522.0,9.25,0.35,0.1,1.0,12.0,102.0,831.0,20.0,1135.44604197,2016.0,1.0,0.8
31,1141.91859596,332.0,1133.28025739,480.0,1146.60483205,628.0,1143.20853625,620.0,1129.34751191,592.0,7.25,0.6,0.1,0.9,12.0,110.0,530.0,20.0,1138.87194671,2016.0,1.0,0.6
32,1137.74335354,1053.0,1132.57660775,1184.0,1148.02651459,1250.0,1141.18847974,1443.0,1128.2151064,1318.0,10.0,0.3,0.1,1.15,8.0,129.0,1249.0,20.0,1137.5500124,2016.0,1.0,0.7
33,1135.87710347,793.0,1128.53435764,985.0,1144.84841208,619.0,1139.23181847,717.0,1127.88997666,648.0,9.0,0.5,0.1,1.0,12.0,93.0,752.0,20.0,1135.27633366,2016.0,1.0,0.75
34,1133.99492658,1018.0,1129.66315783,809.0,1143.37279226,974.0,1142.43908801,812.0,1126.72284984,645.0,8.0,0.35,0.1,1.1,13.0,80.0,851.0,20.0,1135.2385629,2016.0,1.0,0.8
35,1138.28852363,1042.0,1131.59806279,1374.0,1144.66561307,1086.0,1140.61702578,597.0,1127.56137342,782.0,6.5,0.45,0.1,1.15,10.0,121.0,976.0,20.0,1136.54611974,2016.0,1.0,0.7
36,1138.66536818,580.0,1130.62713486,704.0,1142.6911825,685.0,1141.25234083,604.0,1128.82009045,753.0,8.75,0.6,0.1,0.95,12.0,103.0,665.0,20.0,1136.41122337,2016.0,1.0,0.75
37,1134.34952397,895.0,1128.83568254,697.0,1142.7880375,893.0,1137.73399037,1064.0,1127.74750101,774.0,9.25,0.4,0.1,0.9,11.0,109.0,864.0,20.0,1134.29094708,2016.0,1.0,0.8
38,1137.03321663,632.0,1129.15950627,643.0,1144.14255744,726.0,1142.42060841,438.0,1128.00216054,886.0,10.0,0.55,0.1,0.8,11.0,98.0,665.0,20.0,1136.15160986,2016.0,1.0,0.75
39,1140.0692303,594.0,1135.34696593,617.0,1147.34974594,551.0,1143.40244197,449.0,1130.72623426,559.0,9.5,0.45,0.1,0.75,11.0,94.0,554.0,20.0,1139.37892368,2016.0,1.0,0.5
40,1138.58730963,777.0,1131.09316558,656.0,1145.20435717,757.0,1139.8042997,902.0,1129.01620062,520.0,9.25,0.4,0.1,0.9,11.0,126.0,722.0,20.0,1136.74106654,2016.0,1.0,0.65
41,1140.72103596,585.0,1133.51465706,505.0,1149.40294305,561.0,1144.57799245,473.0,1134.02651296,410.0,9.5,0.5,0.1,0.7,11.0,140.0,506.0,20.0,1140.4486283,2016.0,1.0,0.5
42,1139.1602328,440.0,1132.02557415,460.0,1146.48181889,497.0,1141.79353075,601.0,1128.04095018,455.0,10.0,0.3,0.1,0.55,10.0,113.0,490.0,20.0,1137.50042135,2016.0,1.0,0.7
43,1136.58041816,520.0,1128.77537259,707.0,1142.48778412,641.0,1137.66387581,712.0,1126.87637335,526.0,9.0,0.4,0.1,0.5,7.0,101.0,621.0,20.0,1134.47676481,2016.0,1.0,0.8
44,1135.45923908,680.0,1133.38387623,491.0,1144.84567886,734.0,1142.56506187,719.0,1127.98844536,711.0,8.5,0.35,0.1,0.5,7.0,91.0,667.0,20.0,1136.84846028,2016.0,1.0,0.6
45,1136.13567406,783.0,1130.83991736,705.0,1144.40963254,619.0,1139.90638319,649.0,1125.44778035,717.0,9.0,0.65,0.1,0.65,7.0,109.0,694.0,20.0,1135.3478775,2016.0,1.0,0.8
46,1136.13530674,666.0,1128.92766081,775.0,1144.12268695,702.0,1138.38936745,673.0,1126.03184499,559.0,8.5,0.4,0.1,0.5,7.0,82.0,675.0,20.0,1134.72137339,2016.0,1.0,0.8
47,1135.16203269,569.0,1130.39142634,776.0,1143.23238032,762.0,1139.48310824,678.0,1129.27435945,626.0,9.75,0.35,0.1,0.55,7.0,96.0,682.0,20.0,1135.50866141,2016.0,1.0,0.7
48,1139.38017143,582.0,1133.43945423,559.0,1147.57011876,554.0,1142.88382429,602.0,1129.78982069,388.0,9.0,0.5,0.1,0.85,13.0,100.0,537.0,20.0,1138.61267788,2016.0,1.0,0.55
49,1135.69583571,704.0,1130.03454432,754.0,1143.87808306,700.0,1138.3257515,662.0,1127.30894103,525.0,7.75,0.4,0.1,0.65,8.0,116.0,669.0,20.0,1135.04863112,2016.0,1.0,0.75
50,1136.23154418,510.0,1132.6242273,422.0,1145.91477798,636.0,1140.67451635,626.0,1129.1944195,409.0,8.25,0.55,0.1,0.75,11.0,112.0,520.0,20.0,1136.92789706,2016.0,1.0,0.65
